"filename", "language", "JavaScript", "TypeScript React", "Markdown", "JSON", "Properties", "Objective-C", "C++", "Groovy", "YAML", "Batch", "XML", "Java", "comment", "blank", "total"
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Images.xcassets/Contents.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/main.m", "Objective-C", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/marcdertiger/Projects/DistanceNB/ios/DistanceNBTests/DistanceNBTests.m", "Objective-C", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 15, 66
"/Users/marcdertiger/Projects/DistanceNB/ios/RNContactTracingios.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 3, 12
"/Users/marcdertiger/Projects/DistanceNB/ios/RNContactTracingios.m", "Objective-C", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 8, 28
"/Users/marcdertiger/Projects/DistanceNB/metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/marcdertiger/Projects/DistanceNB/package.json", "JSON", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"/Users/marcdertiger/Projects/DistanceNB/react-native.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/marcdertiger/Projects/DistanceNB/tsconfig.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 37, 7, 63
"Total", "-", 2752, 27, 95, 269, 9, 119, 8, 137, 22, 76, 80, 186, 377, 713, 4870
